,Subject,Course,Year,#_Stu_Enrolled,#_Stu_Responses,AvgHrsPerWk,AvgPriorInt,AvgInstrEffect,AvgAvailability,AvgChallenge,AvgLearned,AvgInstrRespect,AvgCourse,AvgInstructor,Std_Dev_Course,Std_Dev_Instr
2844,FYSM,1000,2017.513274336283,15.761061946902656,11.398230088495575,2.1806194690265484,3.9843362831858413,5.036725663716813,5.2023008849557515,3.9102654867256654,4.549380530973452,5.7098230088495585,4.737345132743362,5.219203539823009,1.0459821428571427,0.8541964285714289
2845,FYXP,1000,2019.0,15.0,11.75,1.25,4.375,5.550000000000001,5.55,2.775,4.8500000000000005,5.8500000000000005,5.15,5.725,0.75,0.44999999999999996
2846,GEEN,1010,2015.2222222222222,36.22222222222222,23.11111111111111,3.3666666666666667,4.188888888888889,4.433333333333334,4.766666666666667,4.655555555555556,4.455555555555557,5.688888888888889,4.288888888888889,4.533333333333333,1.1875,0.7333333333333333
2847,GEEN,1017,2018.5,32.0,19.5,2.795,4.87,5.57,5.435,4.33,5.515000000000001,5.970000000000001,5.595000000000001,5.745,0.54,0.44
2848,GEEN,1235,2012.4,14.8,10.6,3.2,3.54,4.4799999999999995,4.720000000000001,4.38,4.779999999999999,5.380000000000001,4.74,4.76,0.9999999999999998,1.16
2849,GEEN,1236,2013.0,32.0,22.0,1.0,3.6,4.2,4.3,4.2,4.3,5.8,4.3,5.4,1.1,0.8
2850,GEEN,1300,2012.2089552238806,39.843283582089555,23.813432835820894,2.753731343283584,3.122388059701493,4.065671641791045,4.770149253731345,4.649253731343282,4.543283582089553,5.713432835820894,4.074626865671642,4.730597014925374,1.1895522388059696,1.1104477611940295
2851,GEEN,1350,2011.969696969697,26.848484848484848,20.272727272727273,1.509090909090909,3.9454545454545453,4.760606060606062,4.687878787878788,4.581818181818181,4.551515151515151,5.772727272727274,4.5606060606060606,5.181818181818182,1.0848484848484845,0.8636363636363638
2852,GEEN,1360,2012.2333333333333,25.266666666666666,19.066666666666666,1.47,4.136666666666667,4.860000000000001,5.056666666666667,4.7366666666666655,4.78,5.916666666666669,4.666666666666666,5.366666666666668,1.1066666666666667,0.7533333333333334
2853,GEEN,1400,2014.3765432098764,29.574074074074073,25.71604938271605,3.3031481481481495,4.668271604938272,4.908518518518517,4.929814814814815,4.428888888888889,4.8848765432098755,5.782160493827156,5.015246913580248,5.158518518518517,0.9132716049382715,0.8536419753086419
2854,GEEN,1410,2012.7857142857142,20.285714285714285,11.214285714285714,2.5357142857142856,4.15,4.514285714285714,4.671428571428572,3.75,4.064285714285714,5.614285714285714,4.271428571428571,4.821428571428571,1.1428571428571428,1.1785714285714286
2855,GEEN,1500,2012.015873015873,50.63492063492063,31.26984126984127,1.376190476190476,3.507936507936508,4.406349206349207,4.75873015873016,2.9174603174603173,3.6190476190476195,5.760317460317461,3.855555555555555,4.8841269841269845,1.2193548387096775,0.970967741935484
2856,GEEN,1510,2011.0,23.428571428571427,22.571428571428573,1.614285714285714,2.9,3.2857142857142856,3.8714285714285714,2.5285714285714285,3.1857142857142855,4.885714285714286,3.185714285714286,3.514285714285715,1.2285714285714289,1.3857142857142857
2857,GEEN,1520,2012.5,28.0,26.25,1.45,3.075,3.85,3.95,2.5,3.3499999999999996,4.7,3.55,4.1,1.2999999999999998,1.475
2858,GEEN,1550,2012.5,13.5,13.0,2.35,4.75,5.275,5.05,4.525,5.075,5.9,4.9,5.4,0.9500000000000001,0.725
2859,GEEN,2050,2013.0,16.333333333333332,12.0,2.0,4.833333333333333,5.633333333333333,5.633333333333333,4.033333333333334,4.766666666666667,6.0,5.533333333333334,5.833333333333333,0.7666666666666666,0.4000000000000001
2860,GEEN,2350,2012.7777777777778,21.88888888888889,17.88888888888889,1.5777777777777777,4.0,5.000000000000001,5.199999999999999,5.188888888888889,5.044444444444444,5.944444444444445,4.922222222222222,5.522222222222222,0.9444444444444444,0.7333333333333334
2861,GEEN,2400,2016.4444444444443,25.77777777777778,23.555555555555557,3.735555555555555,4.9366666666666665,5.511111111111112,5.688888888888888,4.506666666666666,5.097777777777777,5.928888888888888,5.376666666666668,5.631111111111111,0.7711111111111112,0.7022222222222223
2862,GEEN,2851,2016.5555555555557,27.11111111111111,21.333333333333332,3.5166666666666666,4.075555555555555,5.438888888888888,5.672222222222222,4.750000000000001,5.167777777777777,5.977777777777778,5.138888888888888,5.644444444444445,0.7266666666666668,0.5877777777777777
2863,GEEN,3010,2017.5,28.5,22.5,3.1,3.4000000000000004,4.6,5.199999999999999,4.35,4.25,5.95,4.45,4.65,1.15,1.25
2864,GEEN,3024,2019.0,21.0,20.0,2.5,3.5,5.6,5.5,4.3,5.3,6.0,5.5,5.8,0.7,0.4
2865,GEEN,3400,2015.0,29.466666666666665,23.6,3.135333333333334,4.825333333333333,5.252666666666666,5.345333333333333,4.1739999999999995,4.868666666666667,5.8773333333333335,5.144000000000001,5.418666666666667,0.8606666666666668,0.8039999999999999
2866,GEEN,3830,2017.6666666666667,40.666666666666664,29.666666666666668,4.033333333333333,3.4333333333333336,5.5,5.3999999999999995,5.2,5.066666666666667,5.833333333333333,4.933333333333334,5.566666666666666,1.0,0.6999999999999998
2867,GEEN,3851,2011.0,4.0,4.0,5.0,3.7,4.3,5.3,4.7,5.3,5.3,4.7,5.0,0.6,1.7
2868,GEEN,3852,2015.6666666666667,46.666666666666664,35.166666666666664,3.233333333333333,3.766666666666667,5.066666666666667,5.466666666666668,4.95,5.1499999999999995,5.916666666666667,5.2,5.516666666666667,0.75,0.6333333333333333
2869,GEEN,3853,2016.0,7.0,6.5,4.15,3.45,5.15,5.65,4.75,5.0,6.0,5.0,5.15,0.6,0.45
2870,GEEN,4400,2017.3333333333333,4.333333333333333,4.333333333333333,2.9333333333333336,5.6000000000000005,5.633333333333333,5.766666666666667,4.166666666666667,5.166666666666667,6.0,5.566666666666666,5.766666666666667,0.5,0.3333333333333333
2871,GEEN,4830,2011.0,19.5,16.0,3.9,4.15,4.35,5.0,4.4,4.4,5.6,4.449999999999999,4.8,1.0,1.05
2872,GEOG,1001,2014.4831460674156,36.46629213483146,21.926966292134832,2.0954494382022473,3.6412359550561786,4.772359550561797,5.221741573033707,4.06314606741573,4.549269662921346,5.832977528089885,4.651741573033706,5.227977528089889,1.0385875706214691,0.8696045197740118
2873,GEOG,1011,2014.5235294117647,30.688235294117646,19.41176470588235,1.9592307692307696,3.6568235294117653,4.911176470588234,5.4024117647058825,4.008705882352939,4.692840236686387,5.849941176470583,4.850294117647058,5.4035882352941185,0.9600000000000003,0.7632335329341315
2874,GEOG,1962,2018.0666666666666,43.06666666666667,24.166666666666668,1.735666666666667,3.046666666666667,4.480999999999999,5.118666666666667,3.8783333333333325,4.067333333333333,5.688,4.052333333333333,4.903,1.2290000000000003,1.017
2875,GEOG,1972,2016.8,33.475,17.9125,1.904155844155844,3.326329113924052,4.62113924050633,5.189493670886079,3.756835443037975,4.336455696202533,5.799240506329114,4.468734177215189,5.013291139240508,1.080263157894737,0.9197368421052631
2876,GEOG,1982,2015.06875,34.784375,22.653125,2.1226249999999984,3.1474062499999964,4.3981249999999985,5.095312500000003,4.080124999999995,4.278906249999999,5.709374999999998,4.150906249999999,4.840406250000001,1.228871473354232,1.0987460815047023
2877,GEOG,1992,2012.6808510638298,36.1063829787234,21.77304964539007,2.100425531914895,2.9311347517730515,4.125248226950355,5.002624113475175,3.896453900709221,3.949148936170211,5.763120567375882,3.8669503546099273,4.750992907801416,1.254142857142858,1.1329999999999993
2878,GEOG,2002,2012.142857142857,35.58441558441559,26.0,2.0233766233766226,3.146753246753247,4.322077922077923,5.11168831168831,4.036363636363634,4.337662337662339,5.763636363636362,4.203896103896105,4.851948051948055,1.144155844155844,1.0077922077922077
2879,GEOG,2053,2014.3846153846155,20.615384615384617,12.76923076923077,2.4076923076923076,4.146153846153846,4.86923076923077,5.323076923076922,4.1230769230769235,4.83076923076923,5.853846153846154,4.9692307692307685,5.1461538461538465,0.9692307692307693,0.8769230769230769
2880,GEOG,2092,2018.6666666666667,26.0,16.333333333333332,2.5500000000000003,3.873333333333333,5.316666666666667,5.5,4.859999999999999,4.95,5.903333333333333,4.859999999999999,5.32,0.85,0.7666666666666666
2881,GEOG,2271,2017.5,20.0,12.0,1.85,4.4,5.6,5.75,3.6,5.199999999999999,5.9,5.55,5.75,0.5,0.45
2882,GEOG,2412,2012.3275862068965,32.89655172413793,20.663793103448278,2.0112068965517236,3.2060344827586205,4.506896551724138,5.100000000000002,4.00603448275862,4.21206896551724,5.797413793103444,4.155172413793104,5.049137931034483,1.1621621621621618,0.937837837837838
2883,GEOG,2852,2017.5,12.0,8.0,2.1,3.9,5.0,5.800000000000001,4.6,4.7,5.9,4.8,5.199999999999999,0.7,0.65
2884,GEOG,3022,2019.0,13.666666666666666,8.333333333333334,2.2333333333333334,4.366666666666667,4.466666666666667,5.3,4.833333333333333,4.433333333333334,5.7,4.033333333333334,4.766666666666667,1.4666666666666668,1.0333333333333334
2885,GEOG,3023,2015.35,25.35,18.075,2.6364999999999994,3.1405,4.527500000000001,5.261,4.752749999999998,4.52475,5.758750000000001,4.364749999999999,4.961999999999998,1.0407500000000003,0.99075
2886,GEOG,3053,2014.4107142857142,27.535714285714285,21.964285714285715,2.574464285714286,4.223392857142858,4.9125,5.491607142857144,4.401607142857143,5.064642857142858,5.900357142857142,4.936964285714285,5.321250000000001,0.9057142857142857,0.8362499999999998
2887,GEOG,3251,2014.6060606060605,29.060606060606062,17.136363636363637,2.9084848484848487,4.33969696969697,4.790454545454549,4.930757575757575,4.113484848484847,4.730000000000003,5.773333333333335,4.829545454545454,4.988333333333334,0.9687692307692308,0.9395384615384613
2888,GEOG,3351,2014.3,40.9,28.7,2.2699999999999996,4.51,5.31,5.570000000000001,4.470000000000001,4.93,5.909999999999999,5.17,5.470000000000001,0.9299999999999999,0.75
2889,GEOG,3402,2015.1818181818182,97.45454545454545,49.36363636363637,2.23,4.137272727272727,5.244545454545455,5.487272727272727,3.6118181818181823,4.657272727272727,5.919090909090909,5.090909090909091,5.423636363636364,0.9872727272727272,0.7900000000000001
2890,GEOG,3412,2016.0,48.0,43.0,2.1,4.8,5.6,5.5,4.0,5.2,5.9,5.5,5.7,0.8,0.7
2891,GEOG,3422,2016.857142857143,38.857142857142854,25.714285714285715,2.5828571428571427,4.257142857142857,4.711428571428571,5.268571428571429,4.6000000000000005,4.771428571428571,5.8,4.614285714285715,4.985714285714287,1.1542857142857144,1.0385714285714287
2892,GEOG,3511,2013.5,22.238095238095237,16.976190476190474,2.2904761904761903,4.442857142857143,5.007142857142858,5.447619047619048,4.669047619047619,4.980952380952381,5.883333333333335,5.045238095238095,5.354761904761904,0.8595238095238094,0.788095238095238
2893,GEOG,3601,2016.2,40.4,27.333333333333332,2.2333333333333334,4.48,4.931333333333333,5.348,4.713333333333333,4.880000000000001,5.866666666666668,4.919999999999999,5.202,1.0826666666666667,0.8813333333333335
2894,GEOG,3612,2015.6666666666667,47.666666666666664,27.333333333333332,2.16,4.066666666666666,4.853333333333333,5.113333333333333,4.1466666666666665,4.786666666666666,5.739999999999999,4.859999999999999,5.105,1.0466666666666666,1.0033333333333332
2895,GEOG,3622,2019.0,31.0,19.5,2.25,4.35,4.949999999999999,5.65,4.5,4.1,5.9,4.2,5.1,1.25,0.8500000000000001
2896,GEOG,3662,2017.0,16.0,7.0,4.0,4.1,5.6,6.0,4.9,5.3,6.0,5.6,5.9,0.5,0.4
2897,GEOG,3672,2013.75,45.75,33.0,2.625,3.65,4.4,5.15,4.5,4.6,5.7749999999999995,4.35,4.6499999999999995,1.3,1.275
2898,GEOG,3682,2014.1764705882354,51.411764705882355,32.88235294117647,3.394117647058824,4.247058823529412,4.6000000000000005,5.135294117647058,4.670588235294117,4.6117647058823525,5.8235294117647065,4.482352941176471,4.711764705882353,1.152941176470588,1.2294117647058822
2899,GEOG,3692,2017.590909090909,38.72727272727273,29.65909090909091,2.2381818181818183,4.40159090909091,4.918863636363636,5.391590909090909,4.277954545454545,4.795909090909091,5.836818181818183,4.642727272727273,5.161818181818181,1.0615909090909088,0.9465909090909093
2900,GEOG,3742,2015.142857142857,31.642857142857142,22.857142857142858,2.768928571428572,3.9014285714285712,5.227142857142858,5.498571428571428,5.134285714285715,5.043214285714286,5.81107142857143,4.9817857142857145,5.442857142857142,1.0057142857142858,0.7746428571428572
2901,GEOG,3812,2017.0,35.875,24.75,2.8575,4.2075,5.05625,5.44,4.8549999999999995,5.1274999999999995,5.852499999999999,4.945,5.248749999999999,0.9849999999999999,0.9387500000000001
2902,GEOG,3822,2015.8461538461538,54.07692307692308,27.73076923076923,2.936923076923077,3.7676923076923075,4.524615384615386,4.839615384615385,4.181923076923077,4.607307692307692,5.553846153846153,4.459615384615384,4.738846153846153,1.3065384615384614,1.2876923076923075
2903,GEOG,3832,2016.5,29.5,22.0,2.5,4.25,5.6,5.75,4.6,5.45,5.9,5.55,5.9,0.7,0.25
2904,GEOG,3842,2017.5,7.5,3.0,2.85,4.65,5.65,6.0,3.65,5.65,6.0,5.75,6.0,0.3,0.0
2905,GEOG,3862,2015.2,63.4,40.6,2.3200000000000003,4.42,4.26,4.74,4.279999999999999,4.359999999999999,5.500000000000001,4.2,4.1,1.26,1.4
2906,GEOG,3882,2018.0,24.0,14.0,2.57,4.43,4.5,5.0,4.93,4.57,5.43,4.36,4.36,1.5,1.65
2907,GEOG,3930,2018.5,9.0,3.5,3.085,5.835,5.17,5.67,2.5,5.585,5.67,5.835,5.67,0.26,0.82
2908,GEOG,4023,2014.7333333333333,17.866666666666667,15.066666666666666,4.019333333333334,4.691333333333333,5.0520000000000005,5.389333333333334,5.316666666666666,5.142666666666667,5.8693333333333335,4.897333333333333,5.203333333333334,0.9486666666666664,1.0066666666666666
2909,GEOG,4033,2011.0,23.0,14.0,5.1,4.4,4.1,4.8,4.9,4.6,5.7,4.1,4.6,1.1,1.6
2910,GEOG,4043,2011.0,16.0,10.666666666666666,3.533333333333333,5.3,4.733333333333333,5.233333333333333,4.7,5.233333333333333,5.933333333333334,5.133333333333334,4.8999999999999995,1.0666666666666667,1.5666666666666667
2911,GEOG,4093,2014.7857142857142,24.428571428571427,17.357142857142858,2.325714285714285,4.345000000000001,4.9311904761904755,5.368809523809524,4.64404761904762,4.936428571428572,5.910952380952383,4.897142857142858,5.196428571428572,0.9059523809523805,0.8314285714285713
2912,GEOG,4100,2015.2,11.2,10.8,3.96,4.9399999999999995,5.5,5.62,4.720000000000001,5.36,5.9799999999999995,5.4,5.6,0.86,0.8
2913,GEOG,4103,2014.5,22.74074074074074,18.22222222222222,2.7324074074074076,4.630185185185185,4.992777777777777,5.448333333333333,4.972592592592593,5.113888888888891,5.911111111111112,4.995370370370373,5.364259259259258,0.8694444444444442,0.7696296296296294
2914,GEOG,4110,2015.1363636363637,10.227272727272727,8.0,3.5377272727272726,5.205909090909091,5.656818181818182,5.752272727272728,5.007272727272727,5.486363636363635,5.947727272727272,5.585,5.76590909090909,0.5477272727272727,0.35727272727272735
2915,GEOG,4120,2013.5,22.0,17.833333333333332,2.8333333333333335,4.466666666666666,5.233333333333333,5.483333333333333,5.05,5.033333333333334,5.8999999999999995,5.05,5.383333333333333,0.9666666666666668,0.85
2916,GEOG,4173,2014.857142857143,11.714285714285714,9.857142857142858,2.8999999999999995,4.457142857142857,5.357142857142857,5.685714285714285,4.714285714285714,4.8,5.857142857142856,5.242857142857143,5.6000000000000005,0.7714285714285714,0.5428571428571429
2917,GEOG,4201,2014.7,26.1,18.2,2.3600000000000003,4.08,4.96,5.42,4.53,5.02,5.970000000000001,4.92,5.33,0.95,0.75
2918,GEOG,4203,2014.0,14.74074074074074,12.444444444444445,3.15925925925926,5.162962962962962,5.237037037037037,5.51851851851852,4.98888888888889,5.166666666666665,5.940740740740741,5.2259259259259245,5.548148148148148,0.725925925925926,0.6370370370370368
